19000.0  0.
19150.0  8.16050E-06
19270.0  1.61002E-05
19340.0  1.59036E-04
19390.0  4.94992E-04
19480.0  5.37610E-03
19570.0  1.18628E-02
19620.0  1.97031E-02
19690.0  4.21742E-02
19760.0  8.73064E-02
19810.0  0.152759
19890.0  0.248173
19900.0  0.190245
19980.0  0.233884
20080.0  0.294551
20140.0  0.398217
20190.0  0.336603
20280.0  0.620746
20370.0  0.764986
20450.0  0.746412
20610.0  0.625063
20720.0  0.725492
20750.0  0.689468
20820.0  0.787906
20890.0  0.818135
20990.0  0.822833
21060.0  0.863294
21130.0  0.877829
21200.0  0.854895
21240.0  0.895329
21380.0  0.918862
21450.0  0.926769
21550.0  0.926657
21690.0  0.900943
21760.0  0.922819
21850.0  0.842755
21970.0  0.945854
22080.0  0.980363
22130.0  0.987926
22180.0  0.984788
22320.0  0.964659
22370.0  0.981633
22480.0  0.983449
22560.0  0.961316
22600.0  0.979226
22630.0  1.00000
22650.0  0.963168
22700.0  0.981193
22720.0  0.968068
22760.0  0.910892
22770.0  0.982136
22810.0  0.889606
22840.0  0.891766
22860.0  0.942380
22910.0  0.840424
22930.0  0.804239
22950.0  0.707670
22970.0  0.657619
22990.0  0.560736
23060.0  0.443653
23110.0  0.348239
23160.0  0.230228
23200.0  0.162597
23250.0  0.135967
23280.0  9.21021E-02
23350.0  6.23901E-02
23390.0  4.30926E-02
23440.0  3.39814E-02
23460.0  3.09546E-02
23520.0  1.18112E-02
23610.0  6.83260E-03
23630.0  7.48518E-04
23700.0  2.99553E-03
23750.0  2.09686E-03
23840.0  4.06306E-04
23990.0  0.
